
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Manager Score,Experience(yrs),EOY(points),TaskAssigned,DeadlinesMet,EOM points (agg),TaskCompleted,number of EOM,VRS
48.000000,0.460990,0.781174,0.218826,0.438431,0.000000,0.000000,0.000000,1.541285,4.340635,0.000000,0.176316,-6.035677
49.000000,0.091316,0.930194,0.069806,0.000000,0.000000,0.000000,0.000000,0.000000,0.018423,0.000000,0.000000,0.072894
50.000000,1.000000,0.573409,0.426591,0.000000,2.287934,0.000000,0.000000,0.000000,0.386316,0.000000,0.754093,-2.428343
51.000000,0.197598,0.434421,0.565579,0.000000,0.000000,0.090409,0.000000,0.000000,0.085686,0.000000,0.000000,0.021503
52.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500332,0.000000,0.800554,0.757075,1.942383,-3.000344
53.000000,0.416369,1.000000,0.000000,0.855833,0.000000,0.000000,0.737227,0.065215,0.000000,0.000000,0.000000,-1.241906
54.000000,1.000000,0.000000,1.000000,23.545680,0.000000,0.000000,3.238284,0.000000,0.000000,0.000000,0.125763,-25.909727
55.000000,1.000000,0.712650,0.287350,0.000000,0.000000,4.289370,0.050902,0.000000,1.585841,0.000000,0.917247,-5.843361
56.000000,0.709426,0.663051,0.336949,0.268099,0.000000,0.000000,1.344101,0.126068,0.000000,0.000000,0.000000,-1.028842
57.000000,1.000000,0.910226,0.089774,0.000000,3.058168,25.436144,0.000000,0.000000,0.736603,0.000000,0.000000,-28.230915
58.000000,0.370718,0.621161,0.378839,0.000000,0.000000,0.608922,1.554644,0.000000,0.000000,0.000000,0.000000,-1.792848
59.000000,0.297218,0.450119,0.549881,0.201546,5.312867,0.000000,0.144895,0.000000,0.000000,0.000000,0.000000,-5.362090
60.000000,1.000000,1.000000,0.000000,0.000000,0.000000,75.157651,0.000000,0.000000,35.287180,0.000000,0.000000,-109.444830
61.000000,1.000000,0.792214,0.207786,0.000000,0.000000,0.000000,0.310419,0.000000,0.592955,0.000000,0.000000,0.096626
62.000000,0.107230,0.928501,0.071499,0.000000,0.000000,0.000000,0.000000,0.000000,0.016279,0.000000,0.000000,0.090951
63.000000,1.000000,1.000000,0.000000,0.000000,0.414294,2.207190,1.033517,0.000000,0.108085,1.236325,0.000000,-3.999410
64.000000,1.000000,0.995040,0.004960,0.000000,0.000000,0.000000,0.000000,0.113511,2.598895,1.091129,0.792922,-3.596458
65.000000,0.331628,0.000000,1.000000,2.018559,1.166049,0.000000,2.174705,0.032921,0.002614,0.000000,0.000000,-5.063220
66.000000,0.262876,0.661402,0.338598,0.007438,0.000000,0.000000,0.215076,0.000000,0.222103,0.000000,0.000000,-0.181740
67.000000,0.354892,0.711022,0.288978,0.000000,0.000000,0.000000,0.000000,0.000000,3.855143,0.000000,0.000000,-3.500251
68.000000,1.000000,0.665793,0.334207,0.000000,0.000000,0.000000,0.555403,0.000000,0.000000,0.000000,4.116392,-3.671795
69.000000,0.098824,0.184083,0.815917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328028,-0.229204
70.000000,0.467682,0.852466,0.147534,0.000000,4.558641,0.191751,0.000000,0.926229,4.027839,0.000000,0.000000,-9.236777
71.000000,0.883899,0.000000,1.000000,6.539727,0.000000,0.236777,0.200721,0.000000,0.000000,0.000000,0.000000,-6.093326
72.000000,1.000000,0.548761,0.451239,0.000000,0.000000,4.471271,0.187572,0.000000,0.113485,0.000000,0.742194,-4.514522
73.000000,0.583829,0.490722,0.509278,0.144838,0.000000,0.050628,0.581073,0.000000,4.525012,0.000000,0.000000,-4.717722
74.000000,1.000000,1.000000,0.000000,7.416313,0.000000,4.862801,0.000000,0.000000,0.000000,0.000000,0.000000,-11.279114
75.000000,1.000000,1.000000,0.000000,0.000000,1.414431,4.214386,0.709111,0.000000,1.195909,0.000000,0.951868,-7.485705
76.000000,1.000000,0.000000,1.000000,8.069475,6.661163,0.000000,66.746061,0.000000,2.057042,0.000000,0.000000,-82.533739
77.000000,1.000000,0.949457,0.050543,0.000000,0.000000,0.000000,0.000000,1.704047,0.000000,0.000000,2.846594,-3.550642
78.000000,1.000000,0.761512,0.238488,0.126180,0.000000,0.521700,0.000000,2.160516,0.343521,0.000000,0.419273,-2.571190
79.000000,0.355295,0.568909,0.431091,0.000000,0.000000,0.000000,0.000000,0.930379,0.134338,0.000000,0.000000,-0.709422
80.000000,1.000000,0.175003,0.824997,0.000000,1.673363,0.362143,2.155083,0.000000,0.000000,0.000000,0.000000,-3.190589
81.000000,0.131298,0.717070,0.282930,0.003727,0.000000,0.000000,0.000000,0.000000,0.054167,0.000000,0.000000,0.073404
82.000000,0.094978,0.871179,0.128821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094978
83.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.347951,0.000000,0.000000,-0.347951
84.000000,0.624027,0.396690,0.603310,0.000000,7.850847,3.311942,0.000000,1.836954,0.069695,0.000000,0.000000,-12.445410
85.000000,0.052750,0.931600,0.068400,0.000000,0.000000,0.000000,0.000000,0.000000,0.009637,0.000000,0.000000,0.043112
86.000000,0.432018,1.000000,0.000000,4.013102,0.000000,0.000000,2.537130,0.000000,2.565954,0.000000,0.000000,-8.684167
87.000000,0.121795,0.857641,0.142359,0.000000,0.000000,0.081433,0.000000,0.000000,0.029429,0.000000,0.000000,0.010933
88.000000,1.000000,0.422723,0.577277,0.000000,0.830562,0.000000,3.028110,0.518615,1.942611,0.000000,0.000000,-5.319899
89.000000,0.173245,0.417412,0.582588,0.000000,0.000000,0.000000,0.000000,0.099852,0.324887,0.000000,0.000000,-0.251494
90.000000,0.393424,0.918519,0.081481,0.696239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.302815
91.000000,0.765228,0.447469,0.552531,0.193131,0.000000,0.000000,0.788850,0.000000,6.626248,0.000000,0.007436,-6.850436
92.000000,1.000000,0.594078,0.405922,0.000000,0.909912,3.073673,0.000000,0.000000,0.198729,0.000000,0.000000,-3.182314
93.000000,0.307184,0.169378,0.830622,0.000000,0.000000,0.000000,0.000000,0.000000,0.123622,0.000000,0.272052,-0.088490
94.000000,0.070143,0.298626,0.701374,0.000000,0.000000,0.000000,0.001170,0.000000,0.035009,0.000000,0.000000,0.033964
95.000000,1.000000,0.946003,0.053997,7.050516,0.482615,1.969965,3.528556,0.000000,0.000000,0.000000,0.000000,-12.031653
96.000000,0.182069,0.811721,0.188279,0.000000,0.000000,1.129000,0.160137,0.000000,0.025718,0.000000,0.000000,-1.132786
97.000000,1.000000,0.396471,0.603529,0.000000,0.000000,0.000000,0.000000,2.862540,1.469221,0.000000,0.918503,-4.250265
98.000000,0.140423,0.849421,0.150579,0.000000,0.000000,0.593753,0.000000,0.000000,0.020824,0.000000,0.000000,-0.474154
99.000000,0.142476,0.589689,0.410311,0.000000,0.000000,0.000000,0.580354,0.090296,0.000000,0.000000,0.000000,-0.528174
100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.133067,0.920909,0.662998,0.000000,1.316068,0.000000,-3.033041
101.000000,0.398071,0.363803,0.636197,0.000000,0.000000,0.000000,0.000000,0.000000,0.072064,0.000000,0.000000,0.326007
102.000000,0.460924,0.959590,0.040410,2.221789,0.000000,0.332610,1.122074,0.000000,4.902927,0.000000,0.000000,-8.118476
103.000000,1.000000,1.000000,0.000000,1.073348,0.000000,0.000000,1.325723,0.310085,0.000000,0.000000,0.000000,-1.709156
104.000000,1.000000,0.093545,0.906455,0.000000,0.000000,0.000000,0.984702,0.655506,0.795430,0.000000,0.000000,-1.435637
105.000000,0.135871,0.851566,0.148434,0.000000,0.000000,0.000000,0.029165,0.000000,0.056713,0.000000,0.000000,0.049994
106.000000,0.358730,0.000000,1.000000,0.000000,13.943911,0.000000,0.275535,0.396234,0.000000,0.000000,1.985810,-16.242761
107.000000,1.000000,0.427132,0.572868,0.000000,0.000000,3.914091,0.000000,0.000000,0.003448,0.000000,0.000000,-2.917539
108.000000,1.000000,0.316710,0.683290,0.603787,0.000000,1.337458,8.153785,0.000000,0.000000,0.000000,0.000000,-9.095031
109.000000,0.581731,0.602646,0.397354,0.000000,0.000000,0.057108,0.000000,0.000000,0.841148,0.000000,0.241950,-0.558476
110.000000,0.186813,0.000000,1.000000,1.675214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.488401
111.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
112.000000,0.924610,1.000000,0.000000,0.000000,3.866723,0.000000,0.351265,3.175539,0.656804,0.000000,21.561839,-28.687560
113.000000,0.185788,0.504449,0.495551,0.000000,0.200159,0.000000,0.000000,0.000000,0.050679,0.000000,0.000000,-0.065051
114.000000,0.323265,0.344212,0.655788,0.417751,0.000000,0.000000,0.000000,0.000000,0.121328,0.000000,0.000000,-0.215814
115.000000,1.000000,0.666803,0.333197,0.000000,6.674268,0.000000,0.406343,0.000000,0.091518,0.000000,0.000000,-6.172129
116.000000,0.216989,0.268644,0.731356,1.189775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.972786
117.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.620070,0.039103,0.000000,3.384586,0.000000,0.000000,-4.043760
118.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
119.000000,1.000000,0.974359,0.025641,0.000000,0.000000,4.086538,0.000000,0.000000,0.000000,0.000000,2.019231,-5.105769
120.000000,0.207863,0.924893,0.075107,0.000000,0.000000,0.474692,0.000000,0.000000,0.058301,0.000000,0.000000,-0.325131
121.000000,1.000000,0.490643,0.509357,10.482780,0.000000,0.599819,0.000000,0.000000,0.000000,0.000000,0.000000,-10.082599
122.000000,0.086254,0.893324,0.106676,0.000000,0.000000,0.000000,0.114443,0.000000,0.000000,0.000000,0.000000,-0.028189
123.000000,0.062816,0.950180,0.049819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062816
124.000000,1.000000,0.932916,0.067084,0.000000,0.353562,3.806753,0.000000,0.000000,0.133506,0.000000,0.000000,-3.293821
125.000000,0.923556,0.931528,0.068472,0.000000,0.000000,0.000000,0.000000,0.000000,0.239199,0.000000,0.000000,0.684357
126.000000,0.215484,0.159544,0.840456,0.000000,0.000000,0.000000,0.157425,0.000000,0.000000,0.000000,1.416665,-1.358606
127.000000,0.421783,0.728791,0.271209,0.000000,0.000000,0.000000,0.416319,0.000000,0.479695,0.000000,0.000000,-0.474231
128.000000,0.600000,0.386207,0.613793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000
129.000000,1.000000,0.645644,0.354356,0.747418,0.000000,0.000000,0.826444,0.812325,1.425509,0.000000,0.000000,-2.811697
130.000000,0.199101,0.487336,0.512664,0.000000,0.000000,0.048602,0.005804,0.000000,0.124029,0.000000,0.000000,0.020665
131.000000,1.000000,0.022948,0.977052,0.000000,7.253489,0.000000,0.299802,0.000000,0.000000,0.000000,0.000000,-6.553291
132.000000,0.127935,0.545123,0.454877,0.000000,0.000000,0.000000,0.111754,0.000000,0.345743,0.000000,0.000000,-0.329561
133.000000,1.000000,0.743626,0.256374,0.000000,0.764471,0.000000,2.201849,1.024970,0.000000,0.000000,0.828763,-3.820052
134.000000,1.000000,0.317508,0.682492,0.000000,3.152613,0.312632,2.171353,0.000000,0.254969,0.000000,0.000000,-4.891567
135.000000,0.171928,0.925505,0.074495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.304792,-0.132864
136.000000,1.000000,0.996610,0.003390,0.000000,0.000000,0.000000,0.000000,0.530571,0.000000,2.254719,0.000000,-1.785290
137.000000,1.000000,0.689561,0.310439,1.035831,0.153469,1.010427,3.136188,0.488493,0.342557,0.000000,0.000000,-5.166964
138.000000,1.000000,0.315637,0.684363,0.000000,0.000000,0.610763,1.384479,0.511325,0.499147,0.000000,0.000000,-2.005715
139.000000,1.000000,0.747042,0.252958,0.000000,0.000000,7.901836,0.000000,0.000000,0.133977,0.000000,0.219711,-7.255524
140.000000,1.000000,0.783134,0.216866,0.168364,0.794495,0.000000,0.421201,0.697143,0.000000,0.000000,6.630414,-7.711618
141.000000,1.000000,0.732259,0.267741,0.863460,0.000000,0.000000,1.233553,1.070291,1.715866,0.000000,0.232036,-4.115206
142.000000,0.460686,0.920160,0.079840,0.000000,0.000000,0.000000,0.000000,3.610031,0.000000,0.000000,1.838183,-4.987528
143.000000,0.083892,0.521640,0.478360,0.000000,0.000000,0.000000,0.216023,0.000000,0.050729,0.000000,0.000000,-0.182861
144.000000,0.305300,0.390982,0.609018,0.000000,0.000000,0.000000,0.000000,0.494575,0.841105,0.000000,0.000000,-1.030380
145.000000,1.000000,0.525002,0.474998,0.000000,0.000000,0.000000,0.468737,0.046766,4.557998,0.000000,0.210960,-4.284460
146.000000,0.327960,0.425360,0.574640,0.343686,0.000000,0.000000,0.000000,0.000000,0.144290,0.000000,0.000000,-0.160015
147.000000,0.233333,0.833333,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233333
148.000000,0.453220,0.480254,0.519746,0.019967,0.000000,0.000000,0.000000,0.000000,0.197275,0.000000,0.000000,0.235978
149.000000,0.153611,1.000000,0.000000,1.736624,0.000000,0.000000,0.968556,0.000000,0.646533,0.000000,0.000000,-3.198101
150.000000,0.502623,0.936748,0.063252,0.000000,0.000000,0.000000,0.000000,0.488738,0.000000,0.000000,7.758716,-7.744832
151.000000,1.000000,1.000000,0.000000,0.000000,2.672326,8.040832,15.959273,0.000000,7.461154,0.000000,1.734737,-34.868321
152.000000,1.000000,0.562326,0.437674,1.062774,0.000000,0.000000,2.763715,0.915171,0.345181,0.000000,0.000000,-4.086842
153.000000,0.498608,0.895279,0.104721,0.000000,0.000000,0.000000,0.043425,0.000000,1.049818,0.000000,0.000000,-0.594635
154.000000,1.000000,1.000000,0.000000,0.000000,0.088517,0.000000,12.674991,0.000000,0.233994,0.000000,3.673443,-15.670945
155.000000,0.064684,0.957621,0.042379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064684
156.000000,0.575221,0.985871,0.014129,1.295064,1.255572,0.000000,0.818804,0.000000,0.000000,0.000000,0.000000,-2.794220
157.000000,0.274269,0.442636,0.557364,0.000000,0.000000,0.000000,0.000000,0.798799,1.735261,0.000000,0.000000,-2.259791
158.000000,1.000000,0.922552,0.077448,1.676284,4.820661,14.510487,0.000000,0.000000,0.000000,0.000000,0.000000,-20.007431
159.000000,0.108341,0.628250,0.371750,0.000000,0.000000,0.000000,0.345819,0.000000,0.000000,0.000000,0.000000,-0.237478
160.000000,0.080695,0.872129,0.127871,0.000000,0.000000,0.000000,0.076376,0.000000,0.000000,0.000000,0.374355,-0.370036
161.000000,1.000000,1.000000,0.000000,0.000000,3.088285,0.000000,1.148813,0.000000,0.000000,1.731556,0.000000,-4.968654
162.000000,0.671412,0.700617,0.299383,0.000000,0.229276,3.149779,0.787895,0.000000,0.000000,0.000000,0.000000,-3.495539
163.000000,1.000000,0.081538,0.918462,0.000000,0.000000,1.668420,0.018252,0.000000,0.400322,0.000000,0.000000,-1.086994
164.000000,1.000000,1.000000,0.000000,0.808476,0.000000,0.819394,0.000000,3.001333,0.369754,0.000000,0.000000,-3.998957
165.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.641398,0.000000,0.000000,1.055220,1.086568,0.000000,-2.783186
166.000000,0.047129,0.963164,0.036836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047129
167.000000,1.000000,1.000000,0.000000,0.000000,68.761170,0.000000,0.000000,26.302625,9.600804,0.000000,0.000000,-103.664600
168.000000,1.000000,0.343262,0.656738,0.068642,0.029547,2.931049,1.310794,0.000000,0.091520,0.000000,0.000000,-3.431552
169.000000,1.000000,1.000000,0.000000,0.000000,0.000000,48.030653,0.000000,0.912920,0.659627,0.000000,1.081337,-49.684537
170.000000,1.000000,0.991775,0.008225,0.000000,1.855653,1.046918,0.113342,0.000000,5.067224,0.000000,0.000000,-7.083136
171.000000,1.000000,0.969059,0.030941,0.781099,0.000000,0.000000,0.321760,0.000000,13.228614,0.000000,0.059199,-13.390672
172.000000,1.000000,0.968272,0.031728,0.000000,0.000000,0.000000,0.000000,0.156834,0.099521,0.348800,0.000000,0.394844
173.000000,1.000000,0.997864,0.002136,0.000000,0.000000,0.000000,0.000000,0.000000,0.095037,1.226657,1.582270,-1.903964
174.000000,0.560857,0.100187,0.899813,0.000000,0.418625,0.000000,1.219674,0.000000,0.000000,0.000000,0.555658,-1.633101
175.000000,1.000000,0.862716,0.137284,0.000000,0.000000,0.000000,0.000000,0.359240,4.937147,0.335533,0.000000,-4.631920
176.000000,0.160860,0.733136,0.266864,0.000000,1.220904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.060045
177.000000,0.179039,0.607829,0.392171,0.000000,0.000000,1.200109,0.363048,0.000000,0.042765,0.000000,0.180403,-1.607285
178.000000,0.075389,0.923619,0.076381,0.000000,0.000000,0.000000,0.010766,0.004474,0.038626,0.000000,0.000000,0.021522
179.000000,1.000000,1.000000,0.000000,4.280970,1.978375,8.529786,0.000000,0.000000,0.000000,0.000000,0.000000,-13.789131
180.000000,0.350996,0.000000,1.000000,3.071466,0.000000,0.000000,0.510444,0.000000,0.417031,0.000000,0.621570,-4.269514
181.000000,0.196116,0.425027,0.574973,0.010705,0.000000,0.000000,0.000000,0.000000,0.054885,0.000000,0.000000,0.130526
182.000000,0.134052,0.191063,0.808937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208012,-0.073960
183.000000,1.000000,0.125938,0.874062,0.000000,0.000000,0.156149,0.321931,0.000000,0.000000,0.000000,19.052416,-18.530495
184.000000,0.918128,0.670417,0.329583,0.000000,0.000000,3.013576,0.147254,0.000000,0.000000,0.000000,2.426971,-4.669674
185.000000,1.000000,0.439442,0.560558,0.000000,1.906414,106.038930,0.591027,0.000000,0.000000,0.000000,0.003190,-107.539560
186.000000,0.138068,0.830028,0.169972,0.000000,0.000000,0.000000,0.065585,0.000000,0.054076,0.000000,0.000000,0.018407
